手法,クラスター数,AUC,パラメータ1,パラメータ2
,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",auc,"-5.0, -5.5, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0, -9.5, -10.0",無し
HCCMM-CF,38,0.7778170476443618,1.0,0.0
HCCMM-CF,39,0.7523714200279089,1.0,0.0
HCCMM-CF,40,0.770743487939398,1.0,0.0
HCCMM-CF,41,0.7562674430194697,1.0,0.0
HCCMM-CF,42,0.7637957671606087,1.0,0.0
HCCMM-CF,43,0.7724836367864975,1.0,0.0
HCCMM-CF,44,0.7775570635922654,1.0,0.0
HCCMM-CF,45,0.7600139544155757,1.0,0.0
HCCMM-CF,46,0.7587526579839192,1.0,0.0
HCCMM-CF,47,0.7578726161206725,1.0,0.0
HCCMM-CF,48,0.7553770184065387,1.0,0.0
HCCMM-CF,49,0.7587381221343611,1.0,0.0
HCCMM-CF,50,0.7592622433384278,1.0,0.0
HCCMM-CF,51,0.747123978337431,1.0,0.0
HCCMM-CF,52,0.7554638181939,1.0,0.0
HCCMM-CF,53,0.7555261146920063,1.0,0.0
HCCMM-CF,54,0.7757828593262011,1.0,0.0
HCCMM-CF,55,0.7701525018273638,1.0,0.0
HCCMM-CF,56,0.750407834407602,1.0,0.0
HCCMM-CF,57,0.7543499568077613,1.0,0.0
HCCMM-CF,58,0.7567554322546349,1.0,0.0
HCCMM-CF,59,0.7533116818393247,1.0,0.0
HCCMM-CF,60,0.7443214665426274,1.0,0.0
HCCMM-CF,61,0.7393219649146122,1.0,0.0
HCCMM-CF,62,0.7531696458236427,1.0,0.0
HCCMM-CF,63,0.7469487175227589,1.0,0.0
HCCMM-CF,64,0.7542544355106651,1.0,0.0
HCCMM-CF,65,0.7490182071898465,1.0,0.0
HCCMM-CF,66,0.7519772908498904,1.0,0.0
HCCMM-CF,67,0.7565058309522229,1.0,0.0
HCCMM-CF,68,0.7433483952422089,1.0,0.0
HCCMM-CF,69,0.7498475812346337,1.0,0.0
HCCMM-CF,70,0.7499638680310984,1.0,0.0
HCCMM-CF,71,0.7542739550800717,1.0,0.0
HCCMM-CF,72,0.7467954681374177,1.0,0.0
HCCMM-CF,73,0.7510881121669215,1.0,0.0
HCCMM-CF,74,0.7364758455711342,1.0,0.0
HCCMM-CF,75,0.7511367034354443,1.0,0.0
HCCMM-CF,76,0.7483969034487341,1.0,0.0
HCCMM-CF,77,0.7443962223403547,1.0,0.0
HCCMM-CF,78,0.7505565153830819,1.0,0.0
HCCMM-CF,79,0.7416834175028242,1.0,0.0
HCCMM-CF,80,0.7495780450528274,1.0,0.0
HCCMM-CF,81,0.7393489600637916,1.0,0.0
