手法,クラスター数,AUC,パラメータ1,パラメータ2
,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",auc,"-5.0, -5.5, -6.0, -6.5, -7.0, -7.5, -8.0, -8.5, -9.0, -9.5, -10.0",無し
RCCMM-CF,72,0.8501291614060735,1.2,-5
RCCMM-CF,73,0.8517073393580968,1.25,-2
RCCMM-CF,74,0.8510478270981461,1.2,-3
RCCMM-CF,75,0.8498168482955679,1.3,-2
RCCMM-CF,76,0.8501652933749752,1.2,-8
RCCMM-CF,77,0.8497591202073229,1.2,-3
RCCMM-CF,78,0.8501985181739651,1.25,-6
RCCMM-CF,79,0.8496835337896206,1.2,-5
RCCMM-CF,80,0.849943517841717,1.2,-8
RCCMM-CF,81,0.850227174563094,1.35,-2
RCCMM-CF,82,0.851150823975015,1.3,-8
RCCMM-CF,83,0.8505855870821982,1.25,-4
RCCMM-CF,84,0.8495992258621834,1.35,-2
RCCMM-CF,85,0.8490672137683568,1.2,-5
RCCMM-CF,86,0.8502379726227657,1.3,0
RCCMM-CF,87,0.850394544488006,1.25,-3
RCCMM-CF,88,0.8500668649079672,1.2,-5
RCCMM-CF,89,0.8522808824506611,1.3,-1
RCCMM-CF,90,0.8497209116884841,1.5000000000000002,-6
RCCMM-CF,91,0.8511458402551664,1.25,-5
RCCMM-CF,92,0.8497794703967042,1.3,-5
RCCMM-CF,93,0.8496710744899992,1.2,-4
RCCMM-CF,94,0.8508488936141937,1.2,-5
RCCMM-CF,95,0.8513426971891821,1.2,-9
RCCMM-CF,96,0.8513032427403816,1.2,-4
RCCMM-CF,97,0.8516782676589806,1.25,-2
RCCMM-CF,98,0.8518286098744102,1.2,-7
RCCMM-CF,99,0.8517148149378697,1.25,-3
RCCMM-CF,100,0.8511047245664164,1.25,-1
